A_id,B_id
2421,2690
2427,2267
2451,25
246,1875
2466,2523
2475,1666
2499,998
2502,2702
2511,1572
252,628
2523,511
2526,852
2529,2792
2532,1426
2541,2881
2547,1360
255,674
2550,1256
2553,356
2556,1645
2565,2209
2571,133
2583,132
2592,1015
2598,2531
2601,2237
2604,392
2610,1005
2643,1408
2655,875
2667,1009
2670,2665
2703,642
2706,183
2712,1605
2730,727
2751,720
2754,626
2760,641
2763,44
2766,1650
2769,123
2772,1499
2781,2481
279,606
2790,1191
2796,2026
2799,666
2844,2680
285,1212
2850,1090
2853,777
2856,2153
2859,58
2871,1518
288,1389
2880,1297
2880,1400
2889,2274
2904,1961
2910,1768
2913,226
2916,1612
2919,2257
2925,2507
2928,930
2934,88
2943,1836
2946,474
2952,2408
2955,1798
2958,1149
2964,121
297,163
2988,1464
3006,424
3009,2678
3015,1207
3045,2768
3048,728
3051,1126
3054,1845
306,887
3066,589
3069,1282
3072,1235
3075,530
3081,1945
3084,1820
3108,2003
3111,866
312,899
3129,2353
3138,2097
3144,422
315,689
3150,1179
3174,1339
318,652
3186,315
3189,1122
3204,1475
3207,2793
321,1834
3210,611
3213,1163
3231,1787
3234,868
3243,999
3246,2404
3249,184
3252,233
3264,796
3267,1002
3273,76
3279,2208
3285,1003
3288,2655
33,1573
330,1075
3306,2352
3312,945
3318,2106
3321,1127
3324,949
3327,713
3345,1676
3351,2033
3357,369
3366,677
3372,904
3375,2595
3381,840
3387,348
339,1669
3390,1032
3396,2028
3411,1879
342,944
3423,612
3441,832
3444,2603
345,2800
3474,2195
351,684
357,876
36,2214
378,578
381,2264
390,1420
426,46
432,2111
438,2493
444,2503
450,2330
468,2317
480,565
483,1156
489,2060
501,2090
507,1839
510,2888
519,1164
528,1200
528,1297
528,1400
555,993
561,602
57,1534
570,2703
576,2773
588,2396
597,2368
6,513
612,1660
618,723
627,444
63,2759
633,2848
657,662
666,235
669,165
678,107
684,1600
690,550
702,758
711,1468
714,1569
723,180
726,69
732,950
735,1924
738,1713
741,783
768,463
786,488
798,483
804,2858
825,388
831,67
834,854
837,1937
84,237
861,1000
873,2717
885,324
894,308
897,349
90,656
900,101
903,1026
912,2000
933,1132
945,749
960,1993
963,1825
969,423
975,517
99,200
990,779
996,2733
10,745
100,1425
1012,346
1018,1506
103,2188
1036,2869
106,1495
1060,1930
1066,519
1069,2927
1090,2333
1093,185
1099,1837
1102,2930
1108,2618
1114,1912
112,1200
112,1297
1129,2262
1141,2399
1144,1332
1162,1920
118,1264
1180,2364
1186,40
1195,2432
1204,1872
1210,698
1213,856
1219,2231
1225,839
1237,699
1243,2230
1246,702
1252,1364
1255,2002
1261,358
1264,1895
1267,2708
127,445
1270,1738
1273,391
13,486
1321,1950
1330,967
1339,2252
1345,82
1351,817
136,1087
1363,724
1369,1104
1372,736
1381,924
1387,734
1390,2360
1393,492
1396,473
1399,898
1408,289
1411,784
1423,2042
1426,708
1432,1471
1450,393
1471,767
1477,601
148,1309
1480,405
1483,537
1519,567
154,2831
1540,1892
1543,454
1555,2046
1558,14
1564,2505
1567,1614
1570,1992
1573,2213
1585,498
1588,2004
16,0
16,3
1600,1215
1609,2829
1618,716
1621,512
1624,2386
1630,1640
1633,1167
1636,1
1639,2892
1651,1461
1657,85
1660,332
1663,1951
1666,1417
1675,581
1681,50
1687,1979
169,2855
1690,1670
1696,243
1699,803
1708,63
1714,355
172,969
1720,2763
1741,15
1747,937
175,2797
1759,2883
1765,1135
1771,810
1783,562
1789,603
1792,821
1798,2597
1801,721
1810,1310
1816,959
1828,526
1840,870
187,271
1873,1735
1876,408
1879,105
1894,957
1903,352
1912,1619
1915,669
1918,1761
1927,2182
1930,1398
1942,1729
1945,1455
1951,110
1975,1842
1978,455
1996,2228
2005,136
2017,2071
2020,896
2023,746
2026,981
2038,2297
2041,986
205,1926
208,1083
2086,2539
2089,361
2098,2676
2101,325
2104,1544
2104,1437
2110,1851
2113,2806
2119,1387
2122,264
2125,426
2131,1870
214,234
2143,1022
2149,2051
2158,987
2167,774
2170,540
2173,2693
2176,653
2182,75
220,279
2200,395
2209,2428
2212,688
2215,916
223,968
2233,465
2248,738
2260,2285
2263,99
2269,2116
2278,1498
2281,580
2284,28
2290,574
2296,797
2299,1656
2311,2001
2314,621
2320,2694
2326,976
2329,353
2332,477
2335,544
2344,1044
2347,2220
2353,679
2362,2657
2371,1352
238,304
2383,1388
2386,2590
2404,1106
2407,1567
2425,1625
2428,1411
2431,1424
2443,242
2449,1069
2452,1345
2467,45
247,1274
2479,748
2488,2668
2491,610
2494,151
2506,2107
2509,2781
2521,480
2524,2169
2527,2253
2533,20
2548,1901
2551,1162
2560,368
2572,985
2584,1700
259,883
2593,763
2602,607
2605,735
2614,765
2623,1611
2626,872
2629,1059
2647,1868
265,89
2662,1480
2677,1822
2680,1095
2692,625
2704,900
2716,664
2722,989
2731,4
2740,835
2746,16
2749,134
2767,1981
2773,240
2776,615
